2,询问语-还款时间-今天,,
1,肯定|明天还,(身份信息，本人)|(还款时间，明天),哦，行，我可以明天吗？

2,询问语-身份-本人,,
1,肯定|今天还,(身份信息，本人)|(还款时间，今天),对对我马上就给你们处理

2,询问语-还款时间-今天,,
1,暂时没空,,我想还忙

2,询问语-还款时间-今天,,
1,无法识别意图,,几点能出来？

2,询问语-转人工-是,,
1,其他意图,,应该需要我那个身份证

2,询问语-还款时间-今天,,
1,肯定|今天还,(还款时间，今天),是因为定尽快把它弄上去啊

2,询问语-身份-本人,,
1,不要骚扰|你是谁,,你哪里啊？天天打电话

2,结束语-已经还款,,
1,询问如何还款,,从哪里绑定银行卡？

2,询问语-还款时间-今天,,
1,肯定|忘记了,(身份信息，本人)|(逾期原因，忘记)|(还款时间，今天),嗯，可以，我给忘了

2,结束语-无法理解,,
1,肯定,(身份信息，本人),好的

2,询问语-还款时间-今天,,
1,语气词|无法识别意图,,呃，我我那个我是星期一，那个有笔费用到我是16过把它全部清掉，行不行啊

2,询问语-还款时间-今天,,
1,肯定|今天还,(身份信息，本人)|(还款时间，今天),好好好好好好马上马上好好好

2,询问语-还款时间-今天,,
1,肯定|今天还,(身份信息，本人)|(还款时间，今天),嗯，对对对，我现在就是你

2,询问语-还款时间-今天,,
1,肯定|无法识别意图,,嗯，咨询

2,询问语-身份-认识,,
1,认识|询问致电原因,(身份信息，认识),我认识干嘛您说

2,询问语-还款时间-今天,,
1,肯定|语气词,(还款时间，今天),啊，是啊

2,询问语-还款时间,,
1,你是谁,,是京东，是吧？

2,询问语-还款时间-今天,,
1,不明原因不还,(逾期原因，不明原因不还),我可能会晚一些我

2,询问语-还款时间-今天,,
1,肯定|语气词,(还款时间，今天),啊啊对

2,询问语-还款时间-今天,,
1,语气词|已经还了,(身份信息，本人)|(还款时间，已还),哎，我那天不是还了吗？

2,询问语-欠款原因,,
1,肯定|没钱还,(身份信息，本人)|(逾期原因，没钱),哦资金周转有问题资金周转的问题

2,询问语-身份-本人,,
1,无法识别意图,,我都不想不正

2,询问语-还款时间-今天,,
1,无法识别意图,,不太好的

2,结束语-无法理解  ,,
1,语气词,,呃

2,询问语-身份-本人,,
1,肯定|语气词,(身份信息，本人),是啊，喂

2,结束语-今天还款,,
1,语气词|今天还,(还款时间，今天),哦，今天就可以

2,询问语-身份-本人,,
1,无法识别意图,,中请稍后再拨

2,询问语-还款时间,,
1,某时间还,(还款时间，某时间还),二十五号之前

2,询问语-还款时间-今天,,
1,肯定,(还款时间，今天),嗯，去吧

2,询问语-身份-本人,,
1,询问致电原因,(身份信息，本人),有什么事情？

2,结束语-已经还款,,
1,肯定,,好吧

2,结束语-今天还款,,
1,询问如何还款,,京东金融去哪里还款？

2,结束语-今天还款,,
1,无法识别意图,,能能能能处理？

2,询问语-还款时间-今天,,
1,肯定|今天还,(身份信息，本人)|(逾期原因，没钱)|(还款时间，今天),嗯，嗯，我今天发老公发工资，我就我就交上好吧，我们这里嗯，过年没发工资，好吧

2,询问语-身份-本人,,
1,肯定|询问致电原因,(身份信息，本人),对啊，怎么了？不是

2,询问语-转人工-是,,
1,没钱还|其他意图,(逾期原因，没钱),这段时间，这段时间我身体不好，真的不好，就是发了发了一点钱，一个刚刚从家里出来

2,询问语-还款时间-今天,,
1,肯定,(还款时间，今天),好的，好的，好的行谢谢嗯

2,询问语-还款时间-今天,,
1,询问欠款金额,,什么？我欠你们多少钱呢？

2,询问语-身份-本人,,
1,肯定|语气词,(身份信息，本人),哦，对啊

