2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司，请问是原件李先生吗？
1,肯定,(身份，本人),对。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款1064.67元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,今天还,(还款时间，今天),今天就行啊。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题，可以回电95118。祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好哎。这里是京东金融公司，请问是无缝为先生吗？
1,你好,(身份，本人),你好喂，你好。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款592点，5陵园已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,肯定|忘记了,(还款时间，今天)|(欠款原因，忘记),能能能忘了。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题？可以回电95118？祝您生活愉快，再见好。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司，请问是周帅先生呢？
1,肯定,(身份，本人),啊。呃，对。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款338.15元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,语气词,,啊。说。
2,回复语-无法理解|询问语-还款时间-今天,,抱歉，没听清借款今天能处理吗？
1,肯定,(还款时间，今天),可以可以。好的。
2,结束语-承诺今天还款,,如果您在还款过程中遇到任何问题？可以回电95118，祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司。请问世纪雪莉女士吗？
1,肯定,(身份，本人),嗯。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款668.56元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,近几天还,(还款时间，近几天),嗯，过2天。
2,询问语-欠款原因|询问语-需要转人工,,请问是什么原因导致您目前无法正常还款呢？要不要我们专业做起来帮您处理呢？
1,否定,(需要转人工，否),不用。
2,回复语-无法理解|询问语-还款时间,,抱歉。没听清。请问您什么时候可以处理好呢？
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。京东金融公司，请问试运培训女士吗？
1,肯定,(身份，本人),嗯，是。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款204.99元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,钱已经在卡里,(还款时间，自动还款),啊，我不是自动还款吗？
2,回复语-自动还款,,好的。我当您记录下来，如果您绑定的银行卡账户正常系统会尝试扣款，请保持账户余额充足。
1,肯定,,好，谢谢。嗯。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题，可以回电95118，祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司。请问是学员先生吗？
1,肯定,(身份，本人),啊。对。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款494点，9陵园已经逾期了6天，是否能在今天还款，避免产生更多费用？
1,语气词,,啊。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题，可以回电95118，祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。哎，你好这里是京东金融公司。请问是陈泽平先生吗？
1,语气词,,哎。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款416.63元已经逾期了4天，是否能在今天还款，避免产生更多费用？
1,肯定,(还款时间，今天),啊啊，对对对。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题，可以回电95118，祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司，请问事情荣先生吗？
1,肯定,(身份，本人),是。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款126.58元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,肯定,(还款时间，今天),是。好的。
2,结束语-承诺今天还款,,如果您在还款过程中遇到任何问题，可以回电95118。祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司。请问是含忍周先生吗？
1,肯定,(身份，本人),嗯。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款604.30元已经逾期了8000，是否能在今天还款，避免产生更多费用？
1,语气词,,啊。
2,回复语-无法理解,,抱歉。没听。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。这里是京东金融公司。请问是孙瑞女士吗？
1,语气词,,为
2,询问语-身份-本人,,请问是孙瑞女士吗？
1,肯定,(身份，本人),对。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款53点，5元已经逾期了4天。是否能在今天还款，避免产生更多费用？
1,肯定,(还款时间，今天),嗯，行。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题，可以回电95118，祝您生活愉快。再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。哎，这里是京东金融公司，请问是刘博文先生吗？
1,肯定,(身份，本人),是。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款616点，3元已经逾期了8000，是否能在今天还款，避免产生更多费用？
1,肯定,(还款时间，今天),嗯，可以。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题，可以回电95118，祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。这里是京东金融公司。请问是3折袁先生吗？
1,你好,(身份，本人),您好。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款347.00元已经逾期了4天。是否能在今天还款，避免产生更多费用？
1,肯定,(还款时间，今天),是的。
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题？可以回电95118？祝您生活愉快。战线。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。这里是京东金融公司，请问是过去新鲜什么？
1,你好,(身份，本人),喂，你好。为
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款342点，5次元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,语气词,,啊。为
2,回复语-无法理解|询问语-还款时间-今天,,抱歉，没听清借款今天能处理吗？
1,你是谁,,是什么？你们是什么？
2,回复语-无法理解|询问语-还款时间-今天,,抱歉，没听清借款今天能处理吗？
1,你是谁,,是哪位？你是哪位？
2,回复语-你是谁|询问语-还款时间-今天,,京东金融平台的借款。您借款已经逾期了，麻烦您今天处理1下？
1,无法理解,,京东。
2,回复语-无法理解|询问语-还款时间,,抱歉。没听清。请问您什么时候可以处理好呢？
,,,
2,开场语-身份确认|询问语-身份-本人,,您好，这里是京东金融公司，请问是唐鹏先生吗？
1,你是谁,,哪1位？
2,询问语-身份-本人,,请问是唐鹏先生吗？
1,询问致电原因,(身份，本人),啊，有什么事？
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款188.08元已经逾期了2天，是否能在今天还款，避免产生更多费用？
1,没借过钱,(欠款原因，没借过钱),什么时候找你们借钱啦？
2,结束语-承诺今天还款,,好的。如果您在还款过程中遇到任何问题？可以回电95118，祝您生活愉快再见。
,,,
2,开场语-身份确认|询问语-身份-本人,,您好。哎，你好这里是京东金融公司，请问是显贵松先生吗？
1,肯定,(身份，本人),啊。对。
2,开场语-是本人|询问语-还款时间-今天,,您在我们平台的借款1316.53元已经逾期了4天，是否能在今天还款，避免产生更多费用？
1,近几天还,(还款时间，近几天),要等会找找没有了。你好。
2,回复语-欠款金额|询问语-还款时间,,当前逾期1316.53块钱。请问您什么时候可以处理好呢？
1,近几天还,,这2天吧，是吧？啊
2,询问语-欠款原因|询问语-需要转人工,,请问是什么原因导致您目前无法正常还款呢？要不要我们专业坐席来帮您处理呢？
